season,RESEARCHER,habitat,CARCASSID,MC,carcass,weight,DATE,TIME,COMBINED,PULLED,DECOMP DATE/TIME,ttt,Time,status
WET,KELSEY,TARAGUE,KTDR3,GU34A,RAT,4.15,7/5/2016,12:17:55,7/5/2016 12:17,7/9/2016,7/9/2016 6:15,89:57,89.95,1
WET,KELSEY,TARAGUE,KTDR4,H66,RAT,3.85,7/5/2016,12:42:09,7/5/2016 12:42,7/9/2016,7/9/2016 7:45,91:02,91.03,1
WET,KELSEY,UPLAND,KUDR3,H60,RAT,4.4,7/5/2016,13:43:10,7/5/2016 13:43,7/9/2016,7/8/2016 11:00,69:16,69.27,1
WET,KELSEY,UPLAND,KUDR4,GU44B,RAT,4.85,7/5/2016,14:13:16,7/5/2016 14:13,7/9/2016,7/9/2016 10:30,92:16,92.27,1
WET,KELSEY,TARAGUE,KTDM7,H26,MOUSE,0.55,7/9/2016,11:45:26,7/9/2016 11:45,7/14/2016,7/13/2016 10:45,94:59,94.98,1
WET,KELSEY,TARAGUE,KTDM8,GU35A,MOUSE,0.5,7/9/2016,12:22:24,7/9/2016 12:22,7/14/2016,7/12/2016 11:30,71:07,71.12,1
WET,KELSEY,TARAGUE,KTDM9,GU50A,MOUSE,0.55,7/9/2016,12:48:19,7/9/2016 12:48,7/14/2016,7/13/2016 11:00,94:11,94.18,1
WET,KELSEY,UPLAND,KUDM6,H109,MOUSE,0.65,7/9/2016,14:29:51,7/9/2016 14:29,7/14/2016,7/12/2016 10:00,67:30,67.5,1
WET,KELSEY,UPLAND,KUDM7,H20,MOUSE,0.55,7/9/2016,15:07:28,7/9/2016 15:07,7/14/2016,7/13/2016 6:00,86:52,86.87,1
WET,KELSEY,UPLAND,KUDM8,GU30B,MOUSE,0.6,7/9/2016,15:42:51,7/9/2016 15:42,7/14/2016,7/12/2016 12:30,68:47,68.78,1
WET,KELSEY,UPLAND,KUDS10,GU47A,BTS,2.55,7/14/2016,12:44:16,7/14/2016 12:44,7/24/2016,7/21/2016 8:30,163:45,163.75,1
WET,KELSEY,TARAGUE,KTDR9,GU22A,RAT,3.4,7/14/2016,10:38:36,7/14/2016 10:38,7/18/2016,7/18/2016 12:30,97:51,97.85,1
WET,KELSEY,TARAGUE,KTDR10,GU41B,RAT,4.1,7/14/2016,11:17:11,7/14/2016 11:17,7/18/2016,7/18/2016 6:30,91:12,91.2,1
WET,KELSEY,UPLAND,KUDR9,H101,RAT,2.55,7/14/2016,12:28:36,7/14/2016 12:28,7/18/2016,7/18/2016 13:30,97:01,97.02,1
WET,KELSEY,UPLAND,KUDR10,GU28A,RAT,4.3,7/14/2016,13:16:11,7/14/2016 13:16,7/18/2016,7/17/2016 16:30,75:13,75.22,1
WET,KELSEY,UPLAND,KUDM12,GU41A,MOUSE,0.5,7/24/2016,12:31:10,7/24/2016 12:31,7/29/2016,7/28/2016 10:42,94:10,94.17,1
WET,KELSEY,TARAGUE,KTDM17,H38,MOUSE,0.55,7/24/2016,10:30:24,7/24/2016 10:30,7/29/2016,7/29/2016 8:24,117:53,117.88,1
WET,KELSEY,TARAGUE,KTDM18,H80,MOUSE,0.55,7/24/2016,10:55:37,7/24/2016 10:55,7/29/2016,7/29/2016 11:30,120:34,120.57,1
WET,MATT,UPLAND,MUDM1,GU36B,MOUSE,0.6,7/2/2016,11:41:39,7/2/2016 11:41,7/9/2016,7/7/2016 7:45,116:03,116.05,1
WET,MATT,UPLAND,MUDM2,H84,MOUSE,0.55,7/2/2016,12:04:25,7/2/2016 12:04,7/5/2016,7/5/2016 9:45,69:40,69.67,1
WET,MATT,TARAGUE,MTDS3,GU54B,BTS,2.95,7/5/2016,11:38:42,7/5/2016 11:38,7/9/2016,7/9/2016 9:30,93:51,93.85,1
WET,MATT,TARAGUE,MTDS4,GU42A,BTS,1.75,7/5/2016,12:15:26,7/5/2016 12:15,7/9/2016,7/9/2016 10:30,94:14,94.23,1
